keyword,market,settle_position,lofty_position,fundrise_position,other_top_10,ai_overview_present,paid_ads_count,notes
"settley",UK,,,,,,,
"settley real estate",UK,,,,,,,
"tokenized real estate",UK,,,,,,,
"fractional real estate investing",UK,,,,,,,
"real estate tokens",UK,,,,,,,
"blockchain property investment",UK,,,,,,,
"fractional property investing UK",UK,,,,,,,
"tokenized real estate platform",UK,,,,,,,
"invest in real estate with $100",UK,,,,,,,
"fractional real estate apps",UK,,,,,,,
"best real estate investment platforms",UK,,,,,,,
"lofty.ai alternative",UK,,,,,,,
"tokenized real estate",US,,,,,,,
"fractional real estate investing",US,,,,,,,
"real estate tokens",US,,,,,,,
"tokenized real estate platform",US,,,,,,,
"fractional real estate apps",US,,,,,,,
